cobraId,dotTargetFraction,calibrated,dotEdgeFraction,entryEdgeSeen,runSpread
181,0.2088,True,-0.069,True,0.0591
182,0.4492,True,,False,0.0042
183,0.6243,True,,False,0.0143
184,0.5279,True,,False,0.0028
185,0.5056,True,0.1427,True,0.0283
186,0.5283,True,0.082,True,0.0029
187,0.3228,True,0.0665,True,0.0167
188,0.4394,True,,False,0.0074
189,0.5734,True,0.0911,True,0.0024
190,0.532,True,,False,0.015
191,0.6713,True,0.1599,True,0.0013
192,0.4693,True,,False,0.0134
193,0.445,False,,False,
194,0.4788,True,0.1271,True,0.0046
195,0.651,True,0.1144,True,0.0123
196,0.497,True,,False,0.0003
197,0.3353,True,,False,0.0146
198,0.5632,True,,False,0.0336
199,0.3998,True,,False,0.0469
200,0.3848,True,0.0572,True,0.0605
201,0.3553,True,,False,0.0217
202,0.5415,True,0.0894,True,0.024
203,0.5317,True,,False,0.0157
204,0.4883,True,,False,0.0129
205,0.541,True,0.1145,True,0.0128
206,0.26,True,,False,0.0264
207,0.2842,True,0.0535,True,0.0701
208,0.3907,True,,False,0.0348
209,0.711,True,,False,0.0304
210,0.5202,True,0.1173,True,0.0469
211,0.4574,True,0.1126,True,0.0645
212,0.5879,True,,False,0.0224
213,0.481,True,,False,0.0226
214,0.3393,True,,False,0.0864
215,0.4651,True,0.0704,True,0.0185
216,0.5098,True,,False,0.0089
217,0.4896,True,,False,0.003
218,0.5058,True,,False,0.0547
219,0.652,True,,False,0.0148
220,0.5533,True,0.0713,True,0.0301
221,0.5293,True,,False,0.0116
222,0.3895,True,0.0994,True,0.0229
223,0.3363,True,,False,0.0051
224,0.6126,True,,False,0.0128
225,0.5527,True,0.0965,True,0.0141
226,0.4281,True,0.0675,True,0.0089
227,0.5475,True,,False,0.0047
228,0.4173,True,,False,0.0283
229,0.5962,True,0.0973,True,0.0292
230,0.5009,True,,False,0.0225
231,0.6236,True,,False,0.0622
232,0.3455,True,0.0255,True,0.0342
233,0.6948,True,,False,0.0047
234,0.653,True,,False,0.0013
235,0.3967,True,,False,0.0112
236,0.5608,True,,False,0.0028
237,0.3821,True,,False,0.015
238,0.6334,True,0.1857,True,0.0368
239,0.5355,True,0.1876,True,0.0149
240,0.4936,True,,False,0.0229
241,0.3864,True,,False,0.0006
242,0.6405,True,,False,0.0014
243,0.452,True,,False,0.0184
